timestamp,end_timestamp,location,parameter,value,expected_range_low,expected_range_high,anomaly_score,detection_method,anomaly_type,severity,explanation,evidence
2025-01-02T21:00:00+07:00,,multi_location,multivariate_feature_set,,,,-0.008,isolation_forest,statistical_outlier,warning,Multivariate combination is isolated from the normal data distribution.,features=river_ec_us_cm;river_level_m;qnt_m3_h;raw_water_turbidity_ntu;settling_turbidity_ntu;filter_basin_turbidity_ntu;storage_turbidity_ntu;storage_ph;storage_chlorine_cl2_mg_l; contamination=0.02
2025-01-03T05:00:00+07:00,,multi_location,multivariate_feature_set,,,,-0.0125,isolation_forest,statistical_outlier,warning,Multivariate combination is isolated from the normal data distribution.,features=river_ec_us_cm;river_level_m;qnt_m3_h;raw_water_turbidity_ntu;settling_turbidity_ntu;filter_basin_turbidity_ntu;storage_turbidity_ntu;storage_ph;storage_chlorine_cl2_mg_l; contamination=0.02
2025-01-03T15:00:00+07:00,,multi_location,multivariate_feature_set,,,,-0.0144,isolation_forest,statistical_outlier,warning,Multivariate combination is isolated from the normal data distribution.,features=river_ec_us_cm;river_level_m;qnt_m3_h;raw_water_turbidity_ntu;settling_turbidity_ntu;filter_basin_turbidity_ntu;storage_turbidity_ntu;storage_ph;storage_chlorine_cl2_mg_l; contamination=0.02
2025-01-06T01:00:00+07:00,,storage_tank,storage_ph,7.029,7.0473,7.2697,-5.8231,rolling_robust_zscore,statistical_outlier,warning,Value deviates from rolling historical median using robust MAD scale.,rolling_window_hours=24; robust_z=-5.823
2025-01-07T11:00:00+07:00,,multi_location,multivariate_feature_set,,,,-0.0195,isolation_forest,statistical_outlier,warning,Multivariate combination is isolated from the normal data distribution.,features=river_ec_us_cm;river_level_m;qnt_m3_h;raw_water_turbidity_ntu;settling_turbidity_ntu;filter_basin_turbidity_ntu;storage_turbidity_ntu;storage_ph;storage_chlorine_cl2_mg_l; contamination=0.02
2025-01-11T00:00:00+07:00,2025-01-11T11:00:00+07:00,tien_river,river_ec_us_cm,,,,,rule_missing_run,missing_data,warning,Missing measurement run; no imputation was applied.,12 consecutive missing hourly observation(s).
2025-01-12T15:00:00+07:00,,tien_river,river_ec_us_cm,250.436,223.0836,249.8074,5.2352,rolling_robust_zscore,sensor_anomaly_candidate,warning,Value deviates from rolling historical median using robust MAD scale. Isolated EC excursion lacks temporal persistence; sensor anomaly candidate.,rolling_window_hours=24; robust_z=5.235
2025-01-12T16:00:00+07:00,,tien_river,river_ec_us_cm,252.476,223.0189,250.1061,5.8749,rolling_robust_zscore,sensor_anomaly_candidate,warning,Value deviates from rolling historical median using robust MAD scale. Isolated EC excursion lacks temporal persistence; sensor anomaly candidate.,rolling_window_hours=24; robust_z=5.875
2025-01-12T18:00:00+07:00,,tien_river,river_ec_us_cm,252.68,221.2152,252.6018,5.0249,rolling_robust_zscore,sensor_anomaly_candidate,warning,Value deviates from rolling historical median using robust MAD scale. Isolated EC excursion lacks temporal persistence; sensor anomaly candidate.,rolling_window_hours=24; robust_z=5.025
2025-01-12T20:00:00+07:00,,multi_location,multivariate_feature_set,,,,-0.0027,isolation_forest,statistical_outlier,warning,Multivariate combination is isolated from the normal data distribution.,features=river_ec_us_cm;river_level_m;qnt_m3_h;raw_water_turbidity_ntu;settling_turbidity_ntu;filter_basin_turbidity_ntu;storage_turbidity_ntu;storage_ph;storage_chlorine_cl2_mg_l; contamination=0.02
2025-01-13T22:00:00+07:00,,tien_river,river_level_m,2.245,2.0123,2.2347,5.4634,rolling_robust_zscore,statistical_outlier,warning,Value deviates from rolling historical median using robust MAD scale.,rolling_window_hours=24; robust_z=5.463
2025-01-14T11:00:00+07:00,,raw_water_pond,raw_water_turbidity_ntu,16.074,17.8516,34.6124,-6.0606,rolling_robust_zscore,statistical_outlier,warning,Value deviates from rolling historical median using robust MAD scale.,rolling_window_hours=24; robust_z=-6.061
2025-01-16T17:00:00+07:00,,multi_location,multivariate_feature_set,,,,-0.011,isolation_forest,statistical_outlier,warning,Multivariate combination is isolated from the normal data distribution.,features=river_ec_us_cm;river_level_m;qnt_m3_h;raw_water_turbidity_ntu;settling_turbidity_ntu;filter_basin_turbidity_ntu;storage_turbidity_ntu;storage_ph;storage_chlorine_cl2_mg_l; contamination=0.02
2025-01-17T20:00:00+07:00,,multi_location,multivariate_feature_set,,,,-0.0036,isolation_forest,statistical_outlier,warning,Multivariate combination is isolated from the normal data distribution.,features=river_ec_us_cm;river_level_m;qnt_m3_h;raw_water_turbidity_ntu;settling_turbidity_ntu;filter_basin_turbidity_ntu;storage_turbidity_ntu;storage_ph;storage_chlorine_cl2_mg_l; contamination=0.02
2025-01-20T17:00:00+07:00,,multi_location,multivariate_feature_set,,,,-0.0329,isolation_forest,statistical_outlier,warning,Multivariate combination is isolated from the normal data distribution.,features=river_ec_us_cm;river_level_m;qnt_m3_h;raw_water_turbidity_ntu;settling_turbidity_ntu;filter_basin_turbidity_ntu;storage_turbidity_ntu;storage_ph;storage_chlorine_cl2_mg_l; contamination=0.02
2025-01-21T17:00:00+07:00,,multi_location,multivariate_feature_set,,,,-0.0644,isolation_forest,statistical_outlier,warning,Multivariate combination is isolated from the normal data distribution.,features=river_ec_us_cm;river_level_m;qnt_m3_h;raw_water_turbidity_ntu;settling_turbidity_ntu;filter_basin_turbidity_ntu;storage_turbidity_ntu;storage_ph;storage_chlorine_cl2_mg_l; contamination=0.02
2025-01-21T20:00:00+07:00,2025-01-22T12:00:00+07:00,primary_pump_station,pump_3_current_a,27.034,,,17.0,rule_frozen_value,sensor_anomaly_candidate,warning,Identical non-zero value persisted; sensor freezing is a candidate.,17 consecutive identical hourly values; normal equipment state must be checked.
2025-01-21T20:00:00+07:00,2025-01-22T12:00:00+07:00,primary_pump_station,pump_3_power_kw,60.947,,,17.0,rule_frozen_value,sensor_anomaly_candidate,warning,Identical non-zero value persisted; sensor freezing is a candidate.,17 consecutive identical hourly values; normal equipment state must be checked.
2025-01-21T20:00:00+07:00,2025-01-22T12:00:00+07:00,primary_pump_station,pump_3_temperature_c,33.765,,,17.0,rule_frozen_value,sensor_anomaly_candidate,warning,Identical non-zero value persisted; sensor freezing is a candidate.,17 consecutive identical hourly values; normal equipment state must be checked.
2025-01-21T20:00:00+07:00,2025-01-22T12:00:00+07:00,primary_pump_station,pump_3_ts_hz,36.949,,,17.0,rule_frozen_value,sensor_anomaly_candidate,warning,Identical non-zero value persisted; sensor freezing is a candidate.,17 consecutive identical hourly values; normal equipment state must be checked.
2025-01-29T19:00:00+07:00,,multi_location,multivariate_feature_set,,,,-0.0336,isolation_forest,statistical_outlier,warning,Multivariate combination is isolated from the normal data distribution.,features=river_ec_us_cm;river_level_m;qnt_m3_h;raw_water_turbidity_ntu;settling_turbidity_ntu;filter_basin_turbidity_ntu;storage_turbidity_ntu;storage_ph;storage_chlorine_cl2_mg_l; contamination=0.02
2025-01-30T06:00:00+07:00,,multi_location,multivariate_feature_set,,,,-0.0236,isolation_forest,statistical_outlier,warning,Multivariate combination is isolated from the normal data distribution.,features=river_ec_us_cm;river_level_m;qnt_m3_h;raw_water_turbidity_ntu;settling_turbidity_ntu;filter_basin_turbidity_ntu;storage_turbidity_ntu;storage_ph;storage_chlorine_cl2_mg_l; contamination=0.02
2025-01-30T20:00:00+07:00,,multi_location,multivariate_feature_set,,,,-0.0276,isolation_forest,statistical_outlier,warning,Multivariate combination is isolated from the normal data distribution.,features=river_ec_us_cm;river_level_m;qnt_m3_h;raw_water_turbidity_ntu;settling_turbidity_ntu;filter_basin_turbidity_ntu;storage_turbidity_ntu;storage_ph;storage_chlorine_cl2_mg_l; contamination=0.02
2025-01-31T04:00:00+07:00,,multi_location,multivariate_feature_set,,,,-0.0161,isolation_forest,statistical_outlier,warning,Multivariate combination is isolated from the normal data distribution.,features=river_ec_us_cm;river_level_m;qnt_m3_h;raw_water_turbidity_ntu;settling_turbidity_ntu;filter_basin_turbidity_ntu;storage_turbidity_ntu;storage_ph;storage_chlorine_cl2_mg_l; contamination=0.02
2025-01-31T12:00:00+07:00,,storage_tank,storage_ph,6.969,7.0255,7.3295,-6.8601,rolling_robust_zscore,statistical_outlier,warning,Value deviates from rolling historical median using robust MAD scale.,rolling_window_hours=24; robust_z=-6.860
2025-02-01T06:00:00+07:00,,tien_river,river_ec_us_cm,980.0,250.5707,292.6913,168.1761,rolling_robust_zscore,sensor_anomaly_candidate,critical,Value deviates from rolling historical median using robust MAD scale. Isolated EC excursion lacks temporal persistence; sensor anomaly candidate.,rolling_window_hours=24; robust_z=168.176
2025-02-03T08:00:00+07:00,,multi_location,multivariate_feature_set,,,,-0.0115,isolation_forest,statistical_outlier,warning,Multivariate combination is isolated from the normal data distribution.,features=river_ec_us_cm;river_level_m;qnt_m3_h;raw_water_turbidity_ntu;settling_turbidity_ntu;filter_basin_turbidity_ntu;storage_turbidity_ntu;storage_ph;storage_chlorine_cl2_mg_l; contamination=0.02
2025-02-04T01:00:00+07:00,,multi_location,multivariate_feature_set,,,,-0.0048,isolation_forest,statistical_outlier,warning,Multivariate combination is isolated from the normal data distribution.,features=river_ec_us_cm;river_level_m;qnt_m3_h;raw_water_turbidity_ntu;settling_turbidity_ntu;filter_basin_turbidity_ntu;storage_turbidity_ntu;storage_ph;storage_chlorine_cl2_mg_l; contamination=0.02
2025-02-07T07:00:00+07:00,,multi_location,multivariate_feature_set,,,,-0.0472,isolation_forest,statistical_outlier,warning,Multivariate combination is isolated from the normal data distribution.,features=river_ec_us_cm;river_level_m;qnt_m3_h;raw_water_turbidity_ntu;settling_turbidity_ntu;filter_basin_turbidity_ntu;storage_turbidity_ntu;storage_ph;storage_chlorine_cl2_mg_l; contamination=0.02
2025-02-08T09:00:00+07:00,,multi_location,multivariate_feature_set,,,,-0.01,isolation_forest,statistical_outlier,warning,Multivariate combination is isolated from the normal data distribution.,features=river_ec_us_cm;river_level_m;qnt_m3_h;raw_water_turbidity_ntu;settling_turbidity_ntu;filter_basin_turbidity_ntu;storage_turbidity_ntu;storage_ph;storage_chlorine_cl2_mg_l; contamination=0.02
2025-02-08T18:00:00+07:00,,multi_location,multivariate_feature_set,,,,-0.0128,isolation_forest,statistical_outlier,warning,Multivariate combination is isolated from the normal data distribution.,features=river_ec_us_cm;river_level_m;qnt_m3_h;raw_water_turbidity_ntu;settling_turbidity_ntu;filter_basin_turbidity_ntu;storage_turbidity_ntu;storage_ph;storage_chlorine_cl2_mg_l; contamination=0.02
2025-02-09T10:00:00+07:00,,multi_location,multivariate_feature_set,,,,-0.0,isolation_forest,statistical_outlier,warning,Multivariate combination is isolated from the normal data distribution.,features=river_ec_us_cm;river_level_m;qnt_m3_h;raw_water_turbidity_ntu;settling_turbidity_ntu;filter_basin_turbidity_ntu;storage_turbidity_ntu;storage_ph;storage_chlorine_cl2_mg_l; contamination=0.02
2025-02-13T06:00:00+07:00,,multi_location,multivariate_feature_set,,,,-0.0085,isolation_forest,statistical_outlier,warning,Multivariate combination is isolated from the normal data distribution.,features=river_ec_us_cm;river_level_m;qnt_m3_h;raw_water_turbidity_ntu;settling_turbidity_ntu;filter_basin_turbidity_ntu;storage_turbidity_ntu;storage_ph;storage_chlorine_cl2_mg_l; contamination=0.02
2025-02-18T04:00:00+07:00,,multi_location,multivariate_feature_set,,,,-0.0197,isolation_forest,statistical_outlier,warning,Multivariate combination is isolated from the normal data distribution.,features=river_ec_us_cm;river_level_m;qnt_m3_h;raw_water_turbidity_ntu;settling_turbidity_ntu;filter_basin_turbidity_ntu;storage_turbidity_ntu;storage_ph;storage_chlorine_cl2_mg_l; contamination=0.02
2025-02-19T13:00:00+07:00,,secondary_pump_station,secondary_turbidity_ntu,0.443,0.6094,1.5806,-6.714,rolling_robust_zscore,statistical_outlier,warning,Value deviates from rolling historical median using robust MAD scale.,rolling_window_hours=24; robust_z=-6.714
