hour,parameter,observations,mean,median,std_dev
0,river_level_m,90,2.4526,2.4525,0.245
0,river_ec_us_cm,89,254.5783,255.333,17.346
1,river_level_m,90,2.4489,2.4615,0.2429
1,river_ec_us_cm,89,256.0167,255.219,17.8608
2,river_level_m,90,2.4549,2.4705,0.2503
2,river_ec_us_cm,89,255.5087,256.432,17.4631
3,river_level_m,90,2.4576,2.4945,0.2498
3,river_ec_us_cm,89,255.9411,255.313,18.1164
4,river_level_m,90,2.4489,2.507,0.2568
4,river_ec_us_cm,89,256.3759,256.614,18.3701
5,river_level_m,90,2.4497,2.4985,0.2435
5,river_ec_us_cm,89,256.012,254.743,17.5467
6,river_level_m,90,2.4449,2.5085,0.2498
6,river_ec_us_cm,89,263.6737,257.178,78.8887
7,river_level_m,90,2.4552,2.4915,0.2493
7,river_ec_us_cm,89,256.369,254.877,18.6097
8,river_level_m,90,2.4474,2.4915,0.2521
8,river_ec_us_cm,89,255.5491,255.279,18.5671
9,river_level_m,90,2.455,2.5055,0.2494
9,river_ec_us_cm,89,255.0461,253.5,17.4547
10,river_level_m,90,2.4521,2.48,0.2567
10,river_ec_us_cm,89,254.7358,255.479,18.3392
11,river_level_m,90,2.4507,2.467,0.2509
11,river_ec_us_cm,89,256.1928,257.691,18.5075
12,river_level_m,90,2.4541,2.442,0.2526
12,river_ec_us_cm,90,255.4974,255.627,18.978
13,river_level_m,90,2.4504,2.4305,0.259
13,river_ec_us_cm,90,256.1007,255.253,18.1297
14,river_level_m,90,2.4503,2.4325,0.2521
14,river_ec_us_cm,90,255.6666,253.4805,18.7369
15,river_level_m,90,2.4553,2.404,0.2593
15,river_ec_us_cm,90,255.6333,255.437,18.728
16,river_level_m,90,2.447,2.397,0.2586
16,river_ec_us_cm,90,257.0054,258.812,18.1372
17,river_level_m,90,2.4497,2.393,0.2517
17,river_ec_us_cm,90,255.2929,255.4285,17.8082
18,river_level_m,90,2.4498,2.3925,0.2513
18,river_ec_us_cm,90,255.1949,252.3625,17.6179
19,river_level_m,90,2.4405,2.3745,0.2567
19,river_ec_us_cm,90,255.9826,254.582,18.9415
20,river_level_m,90,2.4493,2.4035,0.2509
20,river_ec_us_cm,90,255.6572,256.157,18.1035
21,river_level_m,90,2.4502,2.3995,0.2471
21,river_ec_us_cm,90,255.9534,258.46,19.1438
22,river_level_m,90,2.4498,2.4405,0.2598
22,river_ec_us_cm,90,255.4722,254.7695,17.9654
23,river_level_m,90,2.4433,2.4335,0.2503
23,river_ec_us_cm,90,256.0116,255.6445,17.5583
