horizon_hours,model,split,observations,selection_metric,validation_rmse,selected_for_operational_forecast,mae,rmse,mape_percent,r2
1,persistence,test,8,validation_rmse,56.9955,True,68.0375,76.6248,12.3994,-0.5837
1,moving_average_6,test,8,validation_rmse,115.8748,False,58.5292,68.7014,10.7957,-0.2731
1,random_forest,test,8,validation_rmse,303.0684,False,459.4706,465.843,86.7339,-57.5348
2,persistence,test,8,validation_rmse,94.5657,True,75.1375,89.3232,14.2451,-1.1521
2,moving_average_6,test,8,validation_rmse,184.2563,False,55.4542,64.9628,10.3581,-0.1383
2,random_forest,test,8,validation_rmse,291.8273,False,445.4374,451.0509,84.0707,-53.8764
3,persistence,test,8,validation_rmse,89.2934,True,82.05,89.3441,15.4799,-1.1531
3,moving_average_6,test,8,validation_rmse,261.3055,False,56.5396,65.3749,10.5943,-0.1528
3,random_forest,test,8,validation_rmse,313.5006,False,436.8299,442.2128,82.4668,-51.7469
4,persistence,test,8,validation_rmse,200.0159,True,76.025,89.0043,14.2458,-1.1368
4,moving_average_6,test,8,validation_rmse,326.2737,False,56.1979,67.0185,10.5898,-0.2115
4,random_forest,test,8,validation_rmse,222.9786,False,310.2072,313.9144,58.7222,-25.5801
5,persistence,test,8,validation_rmse,287.4031,False,69.975,87.5354,12.5517,-1.0668
5,moving_average_6,test,8,validation_rmse,368.2347,False,58.1521,66.6752,10.9424,-0.1991
5,random_forest,test,8,validation_rmse,136.8265,True,146.6352,159.6201,28.6357,-5.8724
6,persistence,test,8,validation_rmse,386.7381,False,55.175,71.9825,9.9969,-0.3976
6,moving_average_6,test,8,validation_rmse,390.7663,False,54.4021,62.3162,10.2737,-0.0475
6,random_forest,test,8,validation_rmse,61.1004,True,53.475,64.6474,9.5385,-0.1273
